ticker,date,open,high,low,close,volume,future_close_5d,future_return_5d,label,rsi_14,return_1d,return_5d,volatility_10d,ma_5,ma_20,ma_50,ma_200,ma_diff,trend_slope_20d,wyckoff_kmeans,label_encoded
BID.VN,2020-10-20,23932.6824222502,24509.37423986394,23932.6824222502,24221.029296875,3298519,23471.330078125,-0.03095240955951968,HOLD,63.33336594683648,0.0023865871956678664,0.018181783847540656,0.014964937850226612,24365.201953125,23729.39990234375,23355.9922265625,23804.08130859375,0.02625000131036058,38.612316435619995,1.0,1
BID.VN,2020-10-21,24451.706555404773,25086.06739545011,24307.53311040284,24422.87109375,5179050,22663.962890625,-0.07201889558247385,SELL,64.89367298217903,0.00833332862947489,-0.012820494602233556,0.014957728714482543,24301.766015625,23756.7927734375,23400.3974609375,23790.96158203125,0.022314053089645167,50.81821252349587,1.0,2
BID.VN,2020-10-22,24394.037310938278,24768.88671875,24163.36134663443,24768.88671875,2972044,22289.11328125,-0.1001164673106933,SELL,73.00003793195008,0.014167688298062142,0.016568118770181828,0.015071242214918852,24382.503125,23815.9037109375,23443.649296875,23780.148623046876,0.022875449369050005,62.59051632988697,1.0,2
BID.VN,2020-10-23,25028.396717743144,25028.396717743144,24682.380859375,24682.380859375,3327006,22202.609375,-0.10046727252541844,SELL,74.4897543065642,-0.0034925210954077635,0.014217967259005038,0.015211763524002553,24451.705859375,23873.57275390625,23479.9808203125,23771.498251953126,0.023422906759384233,70.43870271381506,0.0,2
BID.VN,2020-10-26,24509.37466627757,24797.71961428313,23644.337890625,23644.337890625,5795696,22433.287109375,-0.05121948378728688,SELL,54.13533260199295,-0.04205603076397413,-0.02147976974113619,0.021057874998253203,24347.901171875,23864.92236328125,23503.0484375,23755.062548828126,0.02042682737947389,66.27612341400317,0.0,2
BID.VN,2020-10-27,23644.337040709455,23932.681978350214,23471.330078125,23471.330078125,4520543,22721.6328125,-0.0319409791916185,HOLD,51.79854958194005,-0.007317092713710394,-0.030952409559519722,0.021025820936826298,24197.961328125,23866.3640625,23526.11609375,23736.608427734376,0.014127757758987954,53.983488016916816,0.0,1
BID.VN,2020-10-28,23355.99268998888,23471.33066794355,22663.962890625,22663.962890625,4972501,22923.474609375,0.01145041226913355,HOLD,43.37348365186047,-0.03439801599707626,-0.07201889558247387,0.017759299721946405,23846.1796875,23823.11220703125,23536.4965625,23706.764658203127,0.0010178043698744923,31.479527431860607,0.0,1
BID.VN,2020-10-29,22375.61579806287,22779.300648642453,22173.775304408937,22289.11328125,4841633,22519.7890625,0.010349257879363402,HOLD,40.44943691953851,-0.016539455662895497,-0.10011646731069335,0.017821660683227058,23350.225,23756.7927734375,23537.07328125,23670.288935546876,-0.01824064368588024,6.287200422932026,0.0,1
BID.VN,2020-10-30,22490.95625578009,22606.294235437763,22000.76887641702,22202.609375,2878150,22519.7890625,0.014285694178682544,HOLD,35.502968540643536,-0.0038809936114762023,-0.10046727252541843,0.017714990941404437,22854.270703125,23694.7984375,23539.95671875,23636.84083984375,-0.03785715994811994,-20.877998707707253,0.0,1
BID.VN,2020-11-02,22202.6092200338,22548.625088227658,22202.6092200338,22433.287109375,1860257,22635.126953125,0.008997336982579337,HOLD,36.257304845311374,0.010389667740348552,-0.05121948378728691,0.018755207323983135,22612.060546875,23651.54658203125,23539.3800390625,23604.5461328125,-0.046336768663823774,-45.15970835291436,2.0,1
BID.VN,2020-11-03,22490.956847119643,22779.30180384509,22490.956847119643,22721.6328125,1775368,22721.6328125,0.0,HOLD,26.351369905646223,0.012853475360929068,-0.031940979191618535,0.019624122136416212,22462.12109375,23621.2703125,23536.4966015625,23571.098046875,-0.05101522537202126,-63.566112546993246,2.0,1
BID.VN,2020-11-04,22721.632179472566,23125.315107641534,22692.796718785405,22923.474609375,1848271,22721.6328125,-0.00880502630227151,HOLD,32.39438500888194,0.008883243494893556,0.011450412269133459,0.019670071102975594,22514.0234375,23601.0861328125,23539.380078125,23530.00880859375,-0.04742137541696772,-78.1784980028201,2.0,1
BID.VN,2020-11-05,22923.4739099886,22923.4739099886,22519.7890625,22519.7890625,2195531,22836.970703125,0.014084574226903908,HOLD,29.67742161033985,-0.017610137806504444,0.01034925787936336,0.0185605538781819,22560.15859375,23562.159375,23535.919921875,23488.34287109375,-0.044494234758110346,-98.40605028195552,0.0,1
